0,Afghanistan,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8
1,Afghanistan,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2
2,Albania,2006,22.899999618530305,,,,76.2861219512195,,79.557,,48.521053647968394,,,,,18.727,-0.6309112448516729,24.933995516574306,21.2999992370605,7475.899040718821,13.687093088073402,,,96.0,,12.3999996185303,2.37072831904276,88.1,13.1000003814697,,,12.0,9.609991315771179,,60.0673423758473,,,,,,6.1674149347664,,,,,,,8.05139558047574,57.5999984741211,15.1132968075499,3265.36562170136,3.1571900844574,73.171,1218.36014605619,19.1000003814697,39.0,67.8000030517578,68.64105224609379,109.21704379562,1.668,5.43101273397926,,,,8.0,47.5,,,,42.1
3,Albania,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9
4,Albania,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1
5,Albania,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8
6,Algeria,2006,21.3999996185303,,3.11858010292053,,72.55770731707321,15.727820396423304,74.733,,21.9193263959861,,,,,9.6856,1.43679286659749,48.810687703183,23.899999618530305,12357.5322177077,97.9089075716029,,72.648681640625,87.4,,12.3000001907349,2.31452408719834,85.6,21.2999992370605,,95.7594985961914,10.6999998092651,7.37598495634886,,60.8509107689772,4.24049997329712,255.0,5.40962982177734,,,1.62156078886042,578.16162109375,,0.7863600254058841,,,,8.23392175328904,42.7999992370605,-2.4000000109809903,4285.934520549699,,70.486,859.6615612613091,37.7000007629395,24.0,72.0,70.99041748046879,14.170030313972099,2.576,1.70000000000007,,,,10.0,13.1999998092651,,71.3922012470429,0.976350009441376,45.9
7,Algeria,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2
8,Algeria,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2
9,Algeria,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3
10,Angola,2006,10.0,,,,49.007048780487786,,50.433,,39.05410117071671,,,,,191.9584,3.4486214865201004,79.55377052118759,10.1000003814697,5028.16944647697,,,,46.2,,6.800000190734861,13.303253361405199,40.4,6.900000095367429,,,6.599999904632571,1.5,,17.8398962435718,,,,,,,,,,,,,0.573313019213593,69.8000030517578,,3010.06539097731,2.28146004676819,47.649,157.269109288925,10.3000001907349,83.0,76.6999969482422,,14.872436833239801,6.671,20.7351248827892,,,,4.0,63.2000007629395,,18.534492438316697,,27.9
11,Angola,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8
12,Angola,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2
13,Antigua and Barbuda,2006,,,,,74.6181463414634,,77.09,,72.0977672363004,,,,,56.9506,1.08654822451314,48.2907905565349,,24016.311135707798,,,,97.8,,,1.7877853741911998,90.4,,,,,30.0,,132.00067092383802,,,,,,,,,,,,,44.9279355913115,,-1.38693132657451,15200.1903204523,,72.264,,,22.0,,,189.697727272727,2.2030000000000003,13.3764001850193,,,,11.0,,,,,59.2
14,Argentina,2006,20.7999992370605,2.49853992462158,0.210979998111725,,74.8499024390244,,78.76,,17.330443875831097,14.191539764404302,1.06415998935699,35.0999984741211,,61.4612,1.0501665291824,22.925705831282002,25.2000007629395,16640.0367116355,15.4073746769171,,,97.5,,10.1000003814697,10.901124534884401,93.5,12.6000003814697,,99.4688568115234,8.39999961853027,20.9272021035896,,80.81882641385091,0.531140029430389,,0.862089991569519,,,7.05418221980282,1043.21801757813,,,56.77835845947271,22.338095336173,,24.2627733010219,62.0999984741211,5.561203215496111,9147.756746139321,3.65498995780945,71.126,2357.96126015104,32.0999984741211,30.0,76.5999984741211,94.92825317382808,14.454962016158197,2.432,8.142535979061481,,,1.19903004169464,13.0,48.5999984741211,80.8752212524414,,0.993480026721954,52.2
15,Argentina,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0
16,Argentina,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1
17,Argentina,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2
