,Happy Planet Index
GDP PPP (current international $),0.18779929389729558
GDP PPP (constant 2011 international $),0.17591368637861973
Population ages 15-64 female,0.17391518874638737
year,-0.2785044875180317
Labor force female (% of total labor force),-0.28174916161941826
